sent1,sent2,score
"['the', 'man', 'is', 'playing', 'the', 'guitar']","['a', 'man', 'is', 'playing', 'a', 'guitar']",4.909
"['a', 'woman', 'is', 'dancing', 'and', 'singing', 'with', 'other', 'women']","['a', 'woman', 'is', 'dancing', 'and', 'singing', 'in', 'the', 'rain']",3.0
"['a', 'man', 'is', 'slicing', 'a', 'bun']","['a', 'man', 'is', 'slicing', 'an', 'onion']",2.4
"['a', 'man', 'is', 'pouring', 'oil', 'into', 'a', 'pan']","['a', 'man', 'is', 'pouring', 'oil', 'into', 'a', 'skill', '##et']",4.2
"['a', 'lion', 'is', 'playing', 'with', 'people']","['a', 'lion', 'is', 'playing', 'with', 'two', 'men']",3.4
"['a', 'dog', 'rides', 'a', 'skate', '##board']","['a', 'dog', 'is', 'riding', 'a', 'skate', '##board']",5.0
"['someone', 'is', 'carving', 'a', 'statue']","['a', 'man', 'is', 'carving', 'a', 'statue']",3.75
"['a', 'woman', 'is', 'slicing', 'an', 'onion']","['a', 'man', 'is', 'cutting', 'an', 'onion']",2.75
"['a', 'woman', 'peel', '##s', 'shrimp']","['a', 'woman', 'is', 'peeling', 'shrimp']",5.0
"['a', 'woman', 'is', 'fry', '##ing', 'fish']","['a', 'woman', 'is', 'cooking', 'fish']",4.0
"['a', 'woman', 'is', 'playing', 'an', 'electric', 'guitar']","['a', 'woman', 'is', 'playing', 'a', 'guitar']",3.6
"['a', 'baby', 'tiger', 'is', 'playing', 'with', 'a', 'ball']","['a', 'baby', 'is', 'playing', 'with', 'a', 'doll']",1.6
"['a', 'person', 'is', 'slicing', 'a', 'tomato']","['a', 'person', 'is', 'slicing', 'some', 'meat']",1.75
"['a', 'person', 'cuts', 'an', 'onion']","['a', 'person', 'is', 'cutting', 'an', 'onion']",5.0
"['a', 'man', 'is', 'playing', 'the', 'piano']","['a', 'woman', 'is', 'playing', 'the', 'violin']",1.0
"['a', 'woman', 'is', 'playing', 'the', 'flute']","['a', 'man', 'is', 'playing', 'the', 'guitar']",1.0
"['a', 'man', 'is', 'cutting', 'up', 'a', 'potato']","['a', 'man', 'is', 'cutting', 'up', 'carrot', '##s']",2.375
"['a', 'kid', 'is', 'playing', 'guitar']","['a', 'boy', 'is', 'playing', 'a', 'guitar']",3.8
"['a', 'boy', 'is', 'playing', 'guitar']","['a', 'man', 'is', 'playing', 'a', 'guitar']",3.2
"['a', 'man', 'is', 'playing', 'guitar']","['a', 'boy', 'is', 'playing', 'a', 'guitar']",3.2
"['a', 'little', 'boy', 'is', 'playing', 'a', 'keyboard']","['a', 'boy', 'is', 'playing', 'key', 'board']",4.4
"['a', 'man', 'is', 'playing', 'a', 'guitar']","['a', 'man', 'is', 'playing', 'an', 'electric', 'guitar']",3.75
"['a', 'dog', 'lick', '##s', 'a', 'baby']","['a', 'dog', 'is', 'licking', 'a', 'baby']",4.75
"['a', 'woman', 'is', 'slicing', 'an', 'onion']","['a', 'man', 'is', 'cutting', 'and', 'onion']",3.2
"['a', 'man', 'is', 'playing', 'the', 'guitar']","['a', 'man', 'is', 'playing', 'the', 'drums']",1.556
"['a', 'woman', 'is', 'slicing', 'a', 'pepper']","['a', 'woman', 'is', 'cutting', 'a', 'red', 'pepper']",3.938
"['a', 'man', 'is', 'playing', 'the', 'drums']","['a', 'man', 'plays', 'the', 'drum']",5.0
"['a', 'woman', 'rides', 'a', 'horse']","['a', 'woman', 'is', 'riding', 'a', 'horse']",5.0
"['a', 'man', 'is', 'eating', 'a', 'banana', 'by', 'a', 'tree']","['a', 'man', 'is', 'eating', 'a', 'banana']",4.0
"['a', 'cat', 'is', 'playing', 'a', 'key', 'board']","['a', 'man', 'is', 'playing', 'two', 'keyboards']",1.6
"['a', 'man', 'chop', '##s', 'down', 'a', 'tree', 'with', 'an', 'axe']","['a', 'man', 'cut', 'a', 'tree', 'with', 'an', 'axe']",4.75
"['a', 'kid', 'plays', 'with', 'a', 'toy', 'phone']","['a', 'little', 'boy', 'plays', 'with', 'a', 'toy', 'phone']",3.5
"['a', 'man', 'is', 'riding', 'a', 'motorcycle']","['a', 'man', 'is', 'riding', 'a', 'horse']",1.4
"['a', 'man', 'is', 'riding', 'a', 'motorcycle']","['a', 'man', 'is', 'riding', 'a', 'horse']",1.4
"['a', 'squirrel', 'is', 'spinning', 'around', 'in', 'circles']","['a', 'squirrel', 'runs', 'around', 'in', 'circles']",4.0
"['a', 'man', 'and', 'a', 'woman', 'are', 'kissing']","['a', 'man', 'and', 'woman', 'kiss']",5.0
"['a', 'man', 'is', 'getting', 'into', 'a', 'car']","['a', 'man', 'is', 'getting', 'into', 'a', 'car', 'in', 'a', 'garage']",3.833
"['a', 'man', 'is', 'dancing']","['a', 'man', 'is', 'talking']",0.6
"['a', 'man', 'is', 'playing', 'the', 'guitar', 'and', 'singing']","['a', 'man', 'is', 'playing', 'the', 'guitar']",2.917
"['a', 'person', 'is', 'cutting', 'mushrooms']","['a', 'person', 'is', 'cutting', 'mushrooms', 'with', 'a', 'knife']",4.2
"['a', 'tiger', 'cub', 'is', 'making', 'a', 'sound']","['a', 'tiger', 'is', 'walking', 'around']",2.0
"['a', 'person', 'is', 'slicing', 'onions']","['a', 'person', 'is', 'peeling', 'an', 'onion']",2.6
"['a', 'man', 'is', 'playing', 'the', 'piano']","['a', 'man', 'is', 'playing', 'the', 'trumpet']",1.6
"['a', 'woman', 'is', 'peeling', 'a', 'potato']","['a', 'woman', 'is', 'peeling', 'an', 'apple']",2.0
"['a', 'pan', '##k', '##da', 'is', 'eating', 'bamboo']","['a', 'panda', 'bear', 'is', 'eating', 'some', 'bamboo']",4.2
"['a', 'person', 'is', 'peeling', 'an', 'onion']","['a', 'person', 'is', 'peeling', 'an', 'egg', '##pl', '##ant']",2.0
"['a', 'monkey', 'pushes', 'another', 'monkey']","['the', 'monkey', 'pushed', 'the', 'other', 'monkey']",4.8
"['a', 'squirrel', 'runs', 'around', 'in', 'circles']","['a', 'squirrel', 'is', 'moving', 'in', 'circles']",4.4
"['a', 'man', 'is', 'tying', 'his', 'shoe']","['a', 'man', 'ties', 'his', 'shoe']",5.0
"['a', 'boy', 'is', 'singing', 'and', 'playing', 'the', 'piano']","['a', 'boy', 'is', 'playing', 'the', 'piano']",3.0
"['a', 'dog', 'is', 'eating', 'water', 'mel', '##on']","['a', 'dog', 'is', 'eating', 'a', 'piece', 'of', 'water', '##mel', '##on']",4.25
"['a', 'woman', 'is', 'chop', '##ping', 'bro', '##cco', '##li']","['a', 'woman', 'is', 'chop', '##ping', 'bro', '##cco', '##li', 'with', 'a', 'knife']",4.25
"['a', 'man', 'is', 'peeling', 'a', 'potato']","['a', 'man', 'peeled', 'a', 'potato', '##e']",3.8
"['a', 'woman', 'is', 'playing', 'a', 'guitar']","['a', 'man', 'plays', 'a', 'guitar']",2.4
"['a', 'woman', 'is', 'slicing', 'tomato']","['a', 'man', 'is', 'slicing', 'onion']",1.6
"['a', 'man', 'swim', '##s', 'underwater']","['a', 'woman', 'is', 'swimming', 'underwater']",2.0
"['a', 'man', 'and', 'woman', 'are', 'talking']","['a', 'man', 'and', 'woman', 'is', 'eating']",1.6
"['a', 'small', 'dog', 'is', 'chasing', 'a', 'yoga', 'ball']","['a', 'dog', 'is', 'chasing', 'a', 'ball']",4.0
"['the', 'men', 'are', 'playing', 'cricket']","['the', 'men', 'are', 'playing', 'basketball']",2.2
"['a', 'man', 'rides', 'off', 'on', 'a', 'motorcycle']","['a', 'man', 'is', 'riding', 'on', 'a', 'motorcycle']",4.4
"['a', 'man', 'is', 'playing', 'a', 'guitar']","['a', 'man', 'is', 'singing', 'and', 'playing', 'a', 'guitar']",3.6
"['the', 'man', 'talked', 'on', 'the', 'telephone']","['the', 'man', 'is', 'talking', 'on', 'the', 'phone']",3.6
"['a', 'man', 'is', 'fishing']","['a', 'man', 'is', 'exercising']",0.5
"['a', 'man', 'is', 'levi', '##tat', '##ing']","['a', 'man', 'is', 'talking']",0.8
"['two', 'boys', 'are', 'driving']","['two', 'bays', 'are', 'dancing']",0.6
"['a', 'man', 'is', 'riding', 'on', 'a', 'horse']","['a', 'girl', 'is', 'riding', 'a', 'horse']",2.6
"['a', 'man', 'is', 'riding', 'a', 'bicycle']","['a', 'monkey', 'is', 'riding', 'a', 'bike']",2.0
"['a', 'man', 'is', 'slicing', 'potatoes']","['a', 'woman', 'is', 'peeling', 'potato']",2.2
"['a', 'woman', 'is', 'peeling', 'a', 'potato']","['a', 'man', 'is', 'slicing', 'potato']",2.4
"['a', 'man', 'is', 'playing', 'a', 'guitar']","['some', '##oe', '##n', 'is', 'playing', 'guitar']",3.6
"['a', 'woman', 'is', 'slicing', 'a', 'lee', '##k']","['a', 'woman', 'is', 'slicing', 'ginger']",2.2
"['the', 'man', 'cut', 'a', 'paper', 'plate']","['a', 'man', 'is', 'cutting', 'a', 'paper', 'plate']",4.8
"['the', 'man', 'is', 'playing', 'the', 'guitar']","['a', 'man', 'is', 'playing', 'the', 'flute']",1.643
"['a', 'man', 'is', 'playing', 'the', 'piano']","['the', 'man', 'is', 'playing', 'the', 'violin']",1.75
"['a', 'woman', 'is', 'slicing', 'up', 'some', 'meat']","['a', 'woman', 'is', 'bread', '##ing', 'some', 'meat']",2.25
"['a', 'man', 'is', 'playing', 'on', 'his', 'keyboard']","['a', 'man', 'is', 'playing', 'a', 'keyboard', 'piano']",4.0
"['the', 'lady', 'chopped', 'up', 'the', 'green', 'onions']","['the', 'lady', 'cut', 'up', 'a', 'green', 'onion']",4.8
"['someone', 'is', 'sit', '##ring', 'noodles', 'in', 'water']","['a', 'woman', 'is', 'boiling', 'noodles', 'in', 'water']",3.2
"['lionel', 'richie', 'is', 'dancing', 'on', 'the', 'ceiling']","['lionel', 'ritchie', 'dances', 'while', 'standing', 'on', 'the', 'ceiling']",4.0
"['a', 'man', 'is', 'playing', 'a', 'piano']","['a', 'person', 'is', 'playing', 'the', 'piano']",4.4
"['a', 'woman', 'is', 'playing', 'flute']","['a', 'woman', 'plays', 'on', 'a', 'flute']",4.6
"['a', 'boy', 'is', 'checking', 'a', 'cale', '##nder']","['a', 'boy', 'is', 'looking', 'at', 'a', 'calendar']",3.8
"['a', 'woman', 'is', 'cutting', 'an', 'onion']","['a', 'woman', 'is', 'chop', '##ping', 'onions']",4.8
"['a', 'man', 'is', 'playing', 'guitar']","['a', 'man', 'plays', 'a', 'guitar']",4.857
"['a', 'woman', 'is', 'using', 'a', 'sewing', 'machine']","['a', 'woman', 'is', 'sewing', 'on', 'a', 'machine']",5.0
"['a', 'woman', 'is', 'flipping', 'pancakes']","['a', 'cartoon', 'chef', 'is', 'flipping', 'pancakes']",2.533
"['a', 'man', 'is', 'running', 'on', 'the', 'road']","['a', 'car', 'is', 'driving', 'down', 'the', 'road']",1.0
"['a', 'man', 'is', 'riding', 'on', 'a', 'horse']","['a', 'man', 'is', 'talking', 'on', 'a', 'phone']",1.0
"['a', 'man', 'is', 'riding', 'a', 'bike']","['a', 'man', 'is', 'riding', 'on', 'a', 'horse']",2.0
"['a', 'woman', 'is', 'dancing']","['a', 'man', 'is', 'eating']",0.143
"['a', 'man', 'is', 'playing', 'a', 'piano']","['a', 'man', 'is', 'playing', 'a', 'flute']",2.0
"['a', 'man', 'is', 'playing', 'a', 'flute']","['a', 'man', 'is', 'playing', 'a', 'piano']",1.6
"['a', 'man', 'is', 'spinning']","['a', 'man', 'is', 'dancing']",1.6
"['a', 'monkey', 'is', 'swinging', 'from', 'limb', 'to', 'limb']","['a', 'monkey', 'is', 'swinging', 'from', 'tree', 'to', 'tree']",3.4
"['the', 'people', 'got', 'off', 'the', 'train']","['the', 'people', 'got', 'off', 'the', 'train', 'at', 'the', 'station']",4.0
"['a', 'dog', 'is', 'jumping', 'on', 'a', 'tram', '##pol', '##ine']","['a', 'dog', 'bounce', '##s', 'on', 'a', 'tram', '##pol', '##ine']",4.8
"['a', 'boy', 'is', 'playing', 'an', 'instrument']","['a', 'man', 'is', 'playing', 'a', 'trumpet']",2.5
"['a', 'woman', 'plays', 'the', 'guitar']","['a', 'man', 'sings', 'and', 'plays', 'the', 'guitar']",1.75
"['a', 'woman', 'is', 'picking', 'a', 'can']","['a', 'woman', 'is', 'slicing', 'a', 'tomato']",1.0
"['a', 'man', 'is', 'climbing', 'a', 'rope']","['a', 'man', 'climbs', 'up', 'a', 'rope']",5.0
"['a', 'man', 'is', 'lifting', 'a', 'car']","['a', 'man', 'is', 'climbing', 'a', 'wall']",1.4
"['a', 'man', 'and', 'woman', 'are', 'driving', 'down', 'the', 'street', 'in', 'a', 'jeep']","['a', 'man', 'and', 'woman', 'are', 'driving', 'down', 'the', 'road', 'in', 'an', 'open', 'air', 'vehicle']",4.0
"['the', 'shirt', '##less', 'man', 'sat', 'in', 'a', 'chair']","['a', 'shirt', '##less', 'man', 'is', 'sitting', 'on', 'a', 'chair']",3.8
"['two', 'women', 'are', 'wrestling']","['two', 'women', 'are', 'wrestling', 'on', 'the', 'floor']",4.0
"['the', 'puppy', 'played', 'with', 'a', 'blue', 'tennis', 'ball']","['a', 'puppy', 'is', 'playing', 'with', 'a', 'tennis', 'ball']",4.0
"['a', 'kang', '##ro', '##o', 'is', 'eating', 'something']","['a', 'kangaroo', 'is', 'eating']",4.8
"['a', 'cat', 'is', 'playing', 'a', 'piano']","['a', 'man', 'is', 'playing', 'a', 'guitar']",0.6
"['the', 'man', 'cut', 'some', 'carpet', 'with', 'a', 'knife']","['a', 'man', 'is', 'cutting', 'carpet', 'with', 'a', 'knife']",4.75
"['a', 'woman', 'is', 'riding', 'a', 'motorized', 'sc', '##oot', '##er', 'down', 'a', 'road']","['a', 'man', 'is', 'riding', 'a', 'motor', 'sc', '##oot', '##er']",2.2
"['someone', 'is', 'slicing', 'a', 'vegetable']","['someone', 'is', 'slicing', 'a', 'tomato']",3.0
"['a', 'woman', 'is', 'dancing']","['a', 'man', 'is', 'talking']",0.0
"['a', 'dog', 'lick', '##s', 'up', 'a', 'baby', '##s', 'dr', '##ool']","['a', 'dog', 'lick', '##s', 'a', 'baby']",2.2
"['a', 'man', 'is', 'rowing', 'a', 'boat']","['a', 'man', 'is', 'slicing', 'a', 'tomato']",0.4
"['a', 'man', 'cuts', 'up', 'potato', '##s']","['a', 'man', 'slices', 'potatoes']",4.8
"['a', 'woman', 'is', 'chop', '##ping', 'up', 'garlic']","['the', 'woman', 'is', 'di', '##cing', 'garlic']",4.8
"['an', 'animal', 'run', 'in', 'circles']","['a', 'squirrel', 'runs', 'in', 'circles']",3.8
"['a', 'man', 'is', 'walking', 'slowly', 'across', 'a', 'rope', 'bridge']","['a', 'boy', 'is', 'walking', 'across', 'a', 'bridge']",3.0
"['a', 'man', 'is', 'playing', 'the', 'guitar']","['a', 'man', 'seated', 'in', 'a', 'room', 'is', 'playing', 'the', 'guitar']",4.0
"['a', 'man', 'plays', 'the', 'flute']","['a', 'man', 'is', 'playing', 'a', 'flute']",5.0
"['a', 'woman', 'cracks', 'two', 'eggs', 'into', 'a', 'glass', 'bowl']","['a', 'woman', 'is', 'cracking', 'an', 'egg', 'into', 'a', 'bowl']",3.8
"['a', 'man', 'is', 'cutting', 'a', 'fish']","['a', 'man', 'guts', 'a', 'fish']",3.0
"['two', 'men', 'are', 'packing', 'suitcase', '##s', 'into', 'the', 'trunk', 'of', 'a', 'car']","['the', 'men', 'are', 'putting', 'suitcase', '##s', 'into', 'the', 'cars', 'trunk']",4.4
"['a', 'man', 'pour', '##s', 'oil', 'on', 'some', 'tomato', '##s']","['the', 'man', 'poured', 'oil', 'on', 'the', 'cut', 'tomatoes']",3.8
"['a', 'man', 'is', 'slicing', 'something']","['a', 'man', 'is', 'slicing', 'a', 'bun']",3.0
"['a', 'man', 'is', 'pad', '##dling', 'a', 'canoe']","['a', 'man', 'is', 'playing', 'a', 'harp']",0.667
"['a', 'man', 'and', 'woman', 'are', 'walking', 'together', 'through', 'the', 'woods']","['a', 'man', 'and', 'woman', 'are', 'walking', 'arm', 'in', 'arm', 'through', 'a', 'wooded', 'area']",4.0
"['the', 'woman', 'picked', 'up', 'the', 'kangaroo']","['a', 'woman', 'picks', 'up', 'a', 'baby', 'kangaroo']",3.75
"['fish', 'are', 'swimming']","['a', 'fish', 'is', 'swimming']",4.133
"['two', 'women', 'mix', 'something', 'in', 'a', 'food', 'processor']","['two', 'women', 'make', 'something', 'in', 'a', 'blend', '##er']",4.0
"['a', 'person', 'is', 'surfing', 'a', 'large', 'wave']","['a', 'person', 'is', 'surfing']",3.6
"['a', 'man', 'is', 'playing', 'a', 'guitar']","['a', 'man', 'is', 'stabbing', 'a', 'target']",1.2
"['a', 'man', 'is', 'playing', 'a', 'flute', 'in', 'a', 'band']","['a', 'man', 'is', 'playing', 'a', 'guitar']",1.6
"['the', 'man', 'spread', 'butter', 'on', 'the', 'loaf', 'of', 'bread']","['a', 'man', 'is', 'spreading', 'butter', 'onto', 'bread']",4.0
"['a', 'person', 'is', 'boiling', 'noodles']","['a', 'woman', 'is', 'boiling', 'noodles', 'in', 'water']",4.0
"['a', 'group', 'of', 'people', 'dance', 'on', 'a', 'hill']","['a', 'group', 'of', 'people', 'are', 'dancing']",3.2
"['a', 'man', 'is', 'dancing', 'outside']","['a', 'man', 'is', 'playing', 'flute']",1.0
"['a', 'woman', 'is', 'feeding', 'a', 'man']","['a', 'woman', 'is', 'mixing', 'meat']",1.0
"['a', 'man', 'is', 'putting', 'a', 'pan', 'into', 'an', 'oven']","['a', 'woman', 'is', 'cutting', 'an', 'onion']",0.6
"['a', 'woman', 'is', 'sitting', 'at', 'a', 'desk']","['a', 'woman', 'is', 'riding', 'a', 'donkey']",0.4
"['med', '##ics', 'transport', 'a', 'patient', 'on', 'a', 'stretch', '##er']","['a', 'doctor', 'rushes', 'a', 'patient', 'on', 'a', 'stretch', '##er']",3.4
"['a', 'woman', 'is', 'playing', 'a', 'flute', 'on', 'stage']","['the', 'woman', 'is', 'playing', 'the', 'flute']",3.6
"['two', 'baby', 'panda', '##s', 'are', 'playing']","['two', 'panda', '##s', 'are', 'laying', 'together']",3.0
"['a', 'baby', 'is', 'laughing']","['a', 'baby', 'is', 'laughing', 'and', 'giggling']",4.0
"['a', 'man', 'is', 'playing', 'a', 'guitar']","['a', 'boy', 'is', 'playing', 'a', 'piano']",1.2
"['a', 'man', 'is', 'folding', 'paper']","['a', 'woman', 'is', 'slicing', 'a', 'pepper']",0.6
"['three', 'women', 'are', 'dancing']","['the', 'man', 'is', 'dancing']",1.6
"['the', 'cats', 'are', 'playing', 'with', 'each', 'other']","['two', 'cats', 'are', 'fighting', 'each', 'other']",2.6
"['a', 'person', 'is', 'writing']","['a', 'person', 'is', 'writing', 'with', 'a', 'pencil']",3.6
"['a', 'man', 'is', 'running']","['a', 'man', 'is', 'running', 'down', 'a', 'road']",3.5
"['the', 'woman', 'is', 'rolling', 'dough']","['a', 'woman', 'is', 'flour', '##ing', 'and', 'rolling', 'dough']",3.765
"['a', 'woman', 'is', 'adding', 'spices', 'on', 'a', 'meat']","['woman', 'is', 'adding', 'sugar', 'to', 'meat']",2.75
"['a', 'woman', 'is', 'adding', 'oil', 'on', 'fishes']","['a', 'woman', 'is', 'pouring', 'water', 'on', 'fish']",2.25
"['a', 'young', 'boy', 'is', 'holding', 'a', 'guitar']","['a', 'little', 'boy', 'is', 'playing', 'a', 'guitar']",2.75
"['a', 'che', '##eta', '##h', 'is', 'running']","['a', 'che', '##eta', '##h', 'is', 'running', 'across', 'a', 'field']",3.8
"['the', 'man', 'is', 'eating', 'pizza']","['a', 'man', 'is', 'eating', 'a', 'slice', 'of', 'pizza']",4.8
"['an', 'or', '##ang', '##uta', '##n', 'is', 'riding', 'a', 'bus']","['a', 'monkey', 'is', 'riding', 'on', 'a', 'bus']",3.6
"['a', 'man', 'and', 'a', 'woman', 'talk', 'in', 'a', 'diner']","['a', 'man', 'and', 'a', 'woman', 'are', 'riding', 'on', 'a', 'bicycle']",1.2
"['a', 'man', 'is', 'playing', 'a', 'guitar']","['a', 'man', 'is', 'cleaning', 'a', 'glass', 'door']",0.4
"['a', 'girl', 'is', 'singing', 'and', 'playing', 'a', 'guitar']","['a', 'young', 'man', 'is', 'singing', 'while', 'playing', 'the', 'guitar']",2.4
"['a', 'girl', 'is', 'communicating', 'with', 'sign', 'language']","['a', 'young', 'girl', 'is', 'using', 'sign', 'language']",3.941
"['a', 'woman', 'is', 'doing', 'weight', 'exercises']","['a', 'woman', 'is', 'doing', 'her', 'hair']",0.5
"['a', 'man', 'is', 'getting', 'inside', 'a', 'car']","['an', 'elderly', 'man', 'is', 'getting', 'into', 'a', 'red', 'car']",3.75
"['a', 'big', 'green', 'ball', 'knocks', 'a', 'potato', 'over']","['a', 'large', 'green', 'ball', 'hits', 'a', 'potato']",4.0
"['a', 'cat', 'is', 'playing', 'keyboards']","['a', 'cat', 'is', 'playing', 'a', 'piano']",3.0
"['two', 'dogs', 'swim', 'in', 'a', 'pool']","['dogs', 'are', 'swimming', 'in', 'a', 'pool']",4.2
"['the', 'man', 'used', 'a', 'chopper', 'to', 'chop', 'the', 'onion']","['the', 'man', 'used', 'a', 'machine', 'to', 'chop', 'up', 'a', 'potato', '##e']",2.0
"['a', 'woman', 'slices', 'to', '##fu']","['a', 'woman', 'is', 'cutting', 'to', '##fu']",5.0
"['a', 'herd', 'of', 'deer', 'are', 'crossing', 'the', 'street']","['a', 'herd', 'of', 'car', '##ib', '##ou', 'are', 'crossing', 'a', 'road']",3.0
"['the', 'person', 'is', 'riding', 'the', 'horse']","['a', 'man', 'is', 'riding', 'a', 'horse']",3.8
"['someone', 'is', 'feeding', 'a', 'animal']","['someone', 'is', 'playing', 'a', 'piano']",0.0
"['someone', 'is', 'slicing', 'tor', '##tila', '##s']","['someone', 'is', 'riding', 'a', 'horse']",0.0
"['someone', 'is', 'mixing', 'ing', '##red', '##ian', '##ts']","['someone', 'is', 'sewing', 'things']",0.25
"['a', 'rooster', 'peck', '##s', 'at', 'a', 'dead', 'mouse']","['a', 'chicken', 'is', 'peck', '##ing', 'at', 'a', 'dead', 'mouse']",4.0
"['a', 'woman', 'holds', 'a', 'kangaroo']","['a', 'woman', 'is', 'picking', 'up', 'a', 'kangaroo']",3.25
"['a', 'man', 'is', 'playing', 'with', 'frogs']","['a', 'cat', 'is', 'playing', 'with', 'a', 'camera']",0.75
"['two', 'men', 'are', 'talking']","['two', 'men', 'are', 'playing', 'guitar']",1.5
"['a', 'man', 'spreads', 'butter', 'on', 'a', 'big', 'piece', 'of', 'bread']","['a', 'man', 'is', 'sm', '##earing', 'butter', 'on', 'a', 'slice', 'of', 'garlic', 'bread']",3.5
"['a', 'man', 'is', 'running', 'across', 'a', 'high', 'wire']","['a', 'man', 'is', 'running', 'on', 'rope']",3.0
"['a', 'man', 'is', 'mo', '##wing', 'a', 'lawn']","['a', 'woman', 'is', 'cutting', 'a', 'lemon']",0.2
"['a', 'man', 'is', 'opening', 'a', 'door']","['a', 'man', 'is', 'playing', 'a', 'guitar']",0.8
"['a', 'man', 'is', 'slicing', 'a', 'potato', 'into', 'pieces']","['a', 'man', 'is', 'cutting', 'a', 'potato']",4.2
"['the', 'woman', 'is', 'cutting', 'cooked', 'octopus']","['a', 'woman', 'is', 'chop', '##ping', 'octopus']",3.8
"['a', 'man', 'is', 'punching', 'through', 'boards']","['a', 'dog', 'is', 'running', 'through', 'water']",0.4
"['a', 'man', 'is', 'dancing']","['a', 'man', 'is', 'eating', 'bread']",0.8
