sent1,sent2,score
a dog is eating water melon,a dog is eating a piece of watermelon,4.25
a woman is chopping broccoli,a woman is chopping broccoli with a knife,4.25
a man is peeling a potato,a man peeled a potatoe,3.8
a woman is playing a guitar,a man plays a guitar,2.4
a woman is slicing tomato,a man is slicing onion,1.6
a man swims underwater,a woman is swimming underwater,2.0
a man and woman are talking,a man and woman is eating,1.6
a small dog is chasing a yoga ball,a dog is chasing a ball,4.0
the men are playing cricket,the men are playing basketball,2.2
a man rides off on a motorcycle,a man is riding on a motorcycle,4.4
a man is playing a guitar,a man is singing and playing a guitar,3.6
the man talked on the telephone,the man is talking on the phone,3.6
a man is fishing,a man is exercising,0.5
a man is levitating,a man is talking,0.8
two boys are driving,two bays are dancing,0.6
a man is riding on a horse,a girl is riding a horse,2.6
a man is riding a bicycle,a monkey is riding a bike,2.0
a man is slicing potatoes,a woman is peeling potato,2.2
a woman is peeling a potato,a man is slicing potato,2.4
a man is playing a guitar,someoen is playing guitar,3.6
a woman is slicing a leek,a woman is slicing ginger,2.2
the man cut a paper plate,a man is cutting a paper plate,4.8
the man is playing the guitar,a man is playing the flute,1.643
a man is playing the piano,the man is playing the violin,1.75
a woman is slicing up some meat,a woman is breading some meat,2.25
a man is playing on his keyboard,a man is playing a keyboard piano,4.0
the lady chopped up the green onions,the lady cut up a green onion,4.8
someone is sitring noodles in water,a woman is boiling noodles in water,3.2
lionel richie is dancing on the ceiling,lionel ritchie dances while standing on the ceiling,4.0
a man is playing a piano,a person is playing the piano,4.4
a woman is playing flute,a woman plays on a flute,4.6
a boy is checking a calender,a boy is looking at a calendar,3.8
a woman is cutting an onion,a woman is chopping onions,4.8
a man is playing guitar,a man plays a guitar,4.857
a woman is using a sewing machine,a woman is sewing on a machine,5.0
a woman is flipping pancakes,a cartoon chef is flipping pancakes,2.533
a man is running on the road,a car is driving down the road,1.0
a man is riding on a horse,a man is talking on a phone,1.0
a man is riding a bike,a man is riding on a horse,2.0
a woman is dancing,a man is eating,0.143
a man is playing a piano,a man is playing a flute,2.0
a man is playing a flute,a man is playing a piano,1.6
a man is spinning,a man is dancing,1.6
a monkey is swinging from limb to limb,a monkey is swinging from tree to tree,3.4
the people got off the train,the people got off the train at the station,4.0
a dog is jumping on a trampoline,a dog bounces on a trampoline,4.8
a boy is playing an instrument,a man is playing a trumpet,2.5
a woman plays the guitar,a man sings and plays the guitar,1.75
a woman is picking a can,a woman is slicing a tomato,1.0
a man is climbing a rope,a man climbs up a rope,5.0
a man is lifting a car,a man is climbing a wall,1.4
a man and woman are driving down the street in a jeep,a man and woman are driving down the road in an open air vehicle,4.0
the shirtless man sat in a chair,a shirtless man is sitting on a chair,3.8
two women are wrestling,two women are wrestling on the floor,4.0
the puppy played with a blue tennis ball,a puppy is playing with a tennis ball,4.0
a kangroo is eating something,a kangaroo is eating,4.8
a cat is playing a piano,a man is playing a guitar,0.6
the man cut some carpet with a knife,a man is cutting carpet with a knife,4.75
a woman is riding a motorized scooter down a road,a man is riding a motor scooter,2.2
someone is slicing a vegetable,someone is slicing a tomato,3.0
a woman is dancing,a man is talking,0.0
a dog licks up a babys drool,a dog licks a baby,2.2
a man is rowing a boat,a man is slicing a tomato,0.4
a man cuts up potatos,a man slices potatoes,4.8
a woman is chopping up garlic,the woman is dicing garlic,4.8
an animal run in circles,a squirrel runs in circles,3.8
a man is walking slowly across a rope bridge,a boy is walking across a bridge,3.0
a man is playing the guitar,a man seated in a room is playing the guitar,4.0
a man plays the flute,a man is playing a flute,5.0
a woman cracks two eggs into a glass bowl,a woman is cracking an egg into a bowl,3.8
a man is cutting a fish,a man guts a fish,3.0
two men are packing suitcases into the trunk of a car,the men are putting suitcases into the cars trunk,4.4
a man pours oil on some tomatos,the man poured oil on the cut tomatoes,3.8
a man is slicing something,a man is slicing a bun,3.0
a man is paddling a canoe,a man is playing a harp,0.667
a man and woman are walking together through the woods,a man and woman are walking arm in arm through a wooded area,4.0
the woman picked up the kangaroo,a woman picks up a baby kangaroo,3.75
fish are swimming,a fish is swimming,4.133
two women mix something in a food processor,two women make something in a blender,4.0
a person is surfing a large wave,a person is surfing,3.6
a man is playing a guitar,a man is stabbing a target,1.2
a man is playing a flute in a band,a man is playing a guitar,1.6
the man spread butter on the loaf of bread,a man is spreading butter onto bread,4.0
a person is boiling noodles,a woman is boiling noodles in water,4.0
a group of people dance on a hill,a group of people are dancing,3.2
a man is dancing outside,a man is playing flute,1.0
a woman is feeding a man,a woman is mixing meat,1.0
a man is putting a pan into an oven,a woman is cutting an onion,0.6
a woman is sitting at a desk,a woman is riding a donkey,0.4
medics transport a patient on a stretcher,a doctor rushes a patient on a stretcher,3.4
a woman is playing a flute on stage,the woman is playing the flute,3.6
two baby pandas are playing,two pandas are laying together,3.0
a baby is laughing,a baby is laughing and giggling,4.0
a man is playing a guitar,a boy is playing a piano,1.2
a man is folding paper,a woman is slicing a pepper,0.6
three women are dancing,the man is dancing,1.6
the cats are playing with each other,two cats are fighting each other,2.6
a person is writing,a person is writing with a pencil,3.6
a man is running,a man is running down a road,3.5
the woman is rolling dough,a woman is flouring and rolling dough,3.765
a woman is adding spices on a meat,woman is adding sugar to meat,2.75
a woman is adding oil on fishes,a woman is pouring water on fish,2.25
a young boy is holding a guitar,a little boy is playing a guitar,2.75
a cheetah is running,a cheetah is running across a field,3.8
the man is eating pizza,a man is eating a slice of pizza,4.8
an orangutan is riding a bus,a monkey is riding on a bus,3.6
a man and a woman talk in a diner,a man and a woman are riding on a bicycle,1.2
a man is playing a guitar,a man is cleaning a glass door,0.4
a girl is singing and playing a guitar,a young man is singing while playing the guitar,2.4
a girl is communicating with sign language,a young girl is using sign language,3.941
a woman is doing weight exercises,a woman is doing her hair,0.5
a man is getting inside a car,an elderly man is getting into a red car,3.75
a big green ball knocks a potato over,a large green ball hits a potato,4.0
a cat is playing keyboards,a cat is playing a piano,3.0
two dogs swim in a pool,dogs are swimming in a pool,4.2
the man used a chopper to chop the onion,the man used a machine to chop up a potatoe,2.0
a woman slices tofu,a woman is cutting tofu,5.0
a herd of deer are crossing the street,a herd of caribou are crossing a road,3.0
the person is riding the horse,a man is riding a horse,3.8
someone is feeding a animal,someone is playing a piano,0.0
someone is slicing tortilas,someone is riding a horse,0.0
someone is mixing ingrediants,someone is sewing things,0.25
a rooster pecks at a dead mouse,a chicken is pecking at a dead mouse,4.0
a woman holds a kangaroo,a woman is picking up a kangaroo,3.25
a man is playing with frogs,a cat is playing with a camera,0.75
two men are talking,two men are playing guitar,1.5
a man spreads butter on a big piece of bread,a man is smearing butter on a slice of garlic bread,3.5
a man is running across a high wire,a man is running on rope,3.0
a man is mowing a lawn,a woman is cutting a lemon,0.2
a man is opening a door,a man is playing a guitar,0.8
a man is slicing a potato into pieces,a man is cutting a potato,4.2
the woman is cutting cooked octopus,a woman is chopping octopus,3.8
a man is punching through boards,a dog is running through water,0.4
a man is dancing,a man is eating bread,0.8
someone is playing a piano,a man is playing a guitar,1.2
two foxes are eating from a plate on a brick patio,foxes are eating from a plate,2.8
a boy is playing a keyboard,a boy is playing the piano,3.2
a person plays a keyboard,someone is playing a keyboard,5.0
a man is shooting a gun,a man is spitting,0.0
someone is slicing an onion,someoen is peeling a potato,1.0
a man is swimming,a woman is slicing meat,0.0
a man is playing the guitar,a man plays an acoustic guitar,3.75
a woman is slicing a pumpkin,a woman is riding an elephant,0.4
a woman is dancing,a woman is kneading dough,0.4
a woman is cracking eggs into a bowl,a woman is placing skewers onto a rack,0.6
a car is moving through a road,a car is driving down the road,4.0
someone is greasing a pan,smeone is laying down,0.4
a man is playing guitar,a man is draining pasta,0.4
a woman is drinking vodka,a woman is exercising,0.4
a woman is cutting meat into pieces,a woman is cutting up some meat,4.8
a man is rinsing a steak,a man is playing a guitar,0.6
a man is selling items,a man is cleaning the house,0.8
a man is jumping a wall,a man jumps onto a short wall,3.2
runners race around a track,runners compete in a race,3.2
a man is kicking a soccer ball,a man is mixing a bowl,0.6
a woman is frying something,a woman is riding a horse,0.6
a cat is licking a sucker,a woman is slicing cucumber,0.0
a woman is dancing by a fire,a woman is taking a bath,1.4
the man is slicing a fish open,a man is slicing a potato,2.2
butter is melting in a pan,a man is melting butter in a pan,3.6
three boys are dancing,kids are dancing,3.111
a woman is playing a game with a man,a man is playing piano,0.6
the man is driving a white car,a man is giving an interview,0.4
a man drove his car,a man is driving a car,4.25
a car backs out of a space,a car is backing out of a blocked lane,3.0
a man puts some cheese on a pizza,the man sprinkled cheese on the pizza,5.0
the boy is playing the piano,a boy plays a piano,5.0
the man played his guitar,a man is playing a guitar,3.75
a man is riding a horse,a man is playing a keyboard,0.2
a man is walking on a rope,a man is riding a mopad,0.4
a girl is playing a flute,a band is playing on a stage,1.286
people step off a train,a group of people get off a train,4.6
a woman is sewing on a machine,a woman is breading some meat,0.6
a dog is looking into swimming pool,a dog is walking around a pool,2.0
a man is buttering a piece of bread,a man is applying butter to bread,5.0
a man is cutting tomatoes into pieces,a woman is cutting some vegetables,1.8
three teenage girls danced in the room,some teenage girls are dancing for the camera,2.4
a lion is walking,a lion is pacing in a pen,2.4
a man shooting a car,a man is cutting a potato,0.4
a black horse is running around,the horse is running,4.2
a woman is deveining shrimp,a man is dancing in rain,0.0
a man is riding a horse,a woman is washing a freezer,0.0
a man walks down a path,a man walks across a tight rope,0.8
a man is slicing a potato,a woman is cutting a jalepeno,1.4
a dog is barking at a ball,a dog swims after a tennis ball,1.5
a kid runs away from a fish swinging around on a fishing pole,a little kid is running around a fishing pole,2.5
a man is walking along a path through wilderness,a man is walking down a road,2.5
an elderly man is speaking at a podium,a man is making a speech at the podium,3.5
a man riding a horse in slow motion,a man is riding on a horse,3.4
a person is cutting some burrata cheese,the person is slicing cheese,3.8
the man is shooting an automatic rifle,a man is shooting a gun,3.8
a man is crushing garlic with the back of a knife,a woman is slicing meat with a knife,1.5
a woman is filing her fingernails with an emery board,a woman is feeding her baby with a bottle,0.5
a man is riding a skateboard,a woman is cutting a potato,0.0
a woman is taking a shower,a man is riding a white horse,0.0
a  man is dancing,a man is riding a horse,0.8
a man is rowing a boat,a man is shooting off a gun,0.85
a man is swinging from a rope attached to the ceiling,a man is swinging on a rope,3.4
a woman is riding a horse on a beach,a man is carrying another man on his back,0.4
a man holds a small animal in one hand,a man shows off a small monkey,1.75
a person is folding a square paper piece,a man is folding paper,3.25
a person is frying meat in a pan,a person is holding a skunk,0.75
a chimpanzee is hurting a woman,a man is driving a car,0.0
the woman is peeling shrimp,the man is holding a lemur,0.0
two zebras are playing,zebras are socializing,4.25
a woman is slicing butter,a woman slices tofu,1.8
some men are playing guitars,three men are playing guitars and singing together,3.2
the elephants sprayed water on themselves,elephants spray themselves with water,3.6
a dog sat at the counter of a store,the dog is standing at the counter,2.6
someone drills a hole in a strip of wood with a power drill,a man drills a hole in a piece of wood,3.2
a woman is slicing some vegetables,the woman is dicing garlic,2.8
a badger is burrowing a hole,a badger is digging the earth,4.6
a woman is water skiing on a lake,a man is playing a flute,0.0
a girl is playing a violin,a baby is laughing and giggling,0.25
a helicopter is landing on a helipad,a helicopter lands,3.923
a woman is cutting up a chicken,a woman is slicing meat,2.75
a woman is cutting a cucumber,a man is playing a guitar,0.0
a woman rides an elephant in front of an adoring crowd,a woman rides an elephant,3.0
a puppy is sliding backwards along the floor,a puppy is pushing itself backwards,3.8
a woman splits garlic cloves,a woman is breaking a head of garlic into cloves,4.6
a dog is looking into swimming pool,a dog is walking along the edge of a pool,2.6
a woman mixes a beauty treatment in a glass,a woman is mixing a cream in a glass with a spoon,3.6
a man is drawing a picture,a person is drawing,3.6
a woman is picking tomatoes,a woman is pouring batter into a bowl,1.0
a man is looking at a computer monitor,a man is using a laptop,2.75
the boy is riding a tricycle,a woman is riding a water scooter,1.25
two men compete in a tire rolling race,two people flipped tractor tires in a race,2.75
a person is cutting a meat,a person riding a mechanical bull,0.0
a man is playing a violin,a woman is using a sewing machine,0.0
the baby crawled through the doorway,a baby is crawling across the floor,2.4
a man is playing keyboard,a person is playing a piano,2.2
a man is smelling two pizzas,a woman is feeding a man,0.2
a monkey pulls the tail of a dog,a monkey is teasing a dog at the zoo,2.8
a dog lies on his back on a wooden floor,a dog is laying on the floor,4.0
a woman is frying something in the pan,a man is playing his guitar,0.0
a man puts seasoning in a bowl of water,the man added seasoning to water in a bowl,5.0
an elderly woman is pouring oil into a frying pan,a tied man is putting into water,0.0
a woman is chopping an onion,a woman is slicing partially into half of an onion,3.2
the woman picked up the kangaroo,a woman is carrying a kangaroo,3.5
a dog biting on a can,a dog opens a can of food,1.75
a woman is deboning a fish,a man catches a fish,1.25
a man is mowing grass,a man is busting concrete,0.833
a cat is watching a tv,a man is slicing a leave,0.0
the boy is stuck in the door of the doghouse,a child is stuck in a dog house,3.75
people flip into a swimming pool,men are falling into a pool,2.75
a woman swims underwater,a woman is swimming,3.8
a man is playing a guitar,a woman is dancing,0.2
an airplane is flying in the air,a south african airways plane is flying in a blue sky,3.4
a bear is running from two dogs,a bear is fighting wolves,1.4
a woman is resting in a floating raft,a woman relaxes in an inner tube,3.8
a man is dieing in an operating room,a man is kissing a woman in stage,0.4
a man is holding a leaf,a woman is watching television,0.0
a person is riding a horse,a woman is slicing potatoes,0.0
a woman is slicing octopus,a man is playing the guitar,0.0
a man is breaking water jugs,a woman is peeling garlic,0.2
a man is playing a guitar,a woman is cutting vegetable,0.0
a girl is eating a cupcake,a man is slicing a cucumber,0.0
the little girl played on the grass with a dog and a ball,a baby plays with a dog and ball,3.8
people ride and paddle a raft,four people are floating on a raft,2.25
the lady cut up a potatoe,a man is cutting a potato,2.4
the missile exploded,a rocket exploded,3.2
a dog is playing in the snow,a dog is pawing at a fly in the carpet before it,1.6
a woman is dancing with other women,a woman is shredding chicken,0.4
a boy is pushing a van,a person is slicing a tomato,0.0
a boy is making some dance steps,a boy is pouring something from a pitcher,0.4
a woman is opening a soda and drinking it,a woman is riding on an elephant,0.6
a man is assembling speaker parts,a man is playing the guitar,1.0
the dog walked along the edge of the pool,a dog is walking along a pool,4.6
butter is being put into a bowl,a man cutting butter into a mixing bowl,4.25
raccoons are eating,a man is eating,1.5
someone fell off a horse,a man gets knocked off of a horse,3.5
a woman peels an apple,a man pops wheelies on a motorcycle,0.0
a man is taking some math classes,a man is rinsing a steak,0.0
animals are playing in water,two men are playing ping pong,0.0
a man is riding a horse and jumping over obstacles,a man is kicking a soccer ball,0.333
a person is doing pencil tricks with his hand,a person is slicing carrots in half,0.333
the person lit the cameras on fire,a person is blow torching cameras,3.333
the man is slicing the tape from the box,a man is cutting open a box,4.333
a man is fishing in the river,a man is singing while walking down the sidewalk,0.8
a man is riding a bike,a woman is dancing in the street,0.2
a man is doing pushups,a woman is cutting some octopus,0.0
a man is playing guitar,a woman is slicing up some pork,0.0
the little boy is singing and playing the guitar,a baby is playing a guitar,2.8
a woman is powdering her face,the woman is tapping her fingers on the table,0.8
a woman is peeling a potato,a lion is walking around,0.0
a woman is firing a rifle,a man is performing stunts,0.25
a woman puts a garland over a mans shoulders,a man pours water over a pilots head,0.5
an old woman is shaking hand with a man,a man and a woman shake hands,3.75
the woman is waterskiing,a woman is wake boarding on a lake,1.75
trees are bending in storm,trees are hit by very hard winds,2.667
a man and woman is riding in a car,a woman is frying shrimp,0.4
a man is moving a tree limb,the woman is playing the violin,0.0
a man plays a piano,a woman is playing the violin,1.0
a person pours oil on a skillet,a person is dicing an onion,0.8
the animal is eating,a woman is dancing,0.0
the woman is walking her dog,a woman walks her dog down the street,4.0
a group of people sing,some people are singing,5.0
the cat is drinking milk,a cat is licking from a saucer of milk,4.4
a girl is making eyelid,a woman is applying eyeshadow,2.0
two men are fighting,two men are fighting using a form of martial arts,2.8
the military officer barked at the recruits,an officer is talking to recruits,2.5
the man is putting chicken into the container,a man is putting foods in a box,2.5
a man is tying on a stenographers machine,the man used a stenograph,2.25
a woman is adding pasta to a pot of water,a woman is making noodles,3.6
a woman is lying on a blanket on a rock and reading a book,a woman seated is singing a song and playing the guitar too,1.2
two puppies are playing with each other,some men are playing soccer,0.2
a man is running on a field,a man climbs up a rope,1.0
a man is hugging someone,a man is taking a picture,0.4
someone is pouring ingrediants into a pot,a man puts vegetables into a pot,2.8
a couple are walking,some men are sawing,0.0
a person is playing a guitar,the man played his guitar,3.0
a person is adding food in a pan,a woman puts rice into a pan,3.0
a group of penguins is walking,a large amount of penguins are heading to the ocean,2.8
a man is playing a guitar,someone is handling a bun,0.0
a dog is jumping on a trampoline,a boy is playing a guitar,0.0
a man is shaking a container over a kitchen sink,a man is emptying a plastic container,2.2
a man is walking with a horse,a man is leading a horse around by its halter,3.75
paper is being cut with scissors,a piece of paper is being cut,4.0
a person peels shrimp,the lady peeled the shrimp,3.5
a man is playing a guitar,a man tries to read the paper,0.8
a man making a bed in a hotel,a man is holding a animal,0.8
the dog pulled the dogs tail and then his leg,a monkey pulled a dogs tail,1.75
a woman beats two eggs in a bowl,a person is mixing ingredients in a bowl,3.0
a man is jumping rope outside,a woman is slicing a cucumber,0.0
a person is slicing some onions,a hamster is singing,0.0
a woman holds a kangaroo,a man in a hat sings a song,0.0
soccer players are kicking a soccer ball into the goal,a soccer player scores a goal,3.8
a woman is cooking something,a woman is pouring ingredients into a frying pan,3.2
a woman is swimming in the beach,a woman splashes around in the oceans waves,3.2
a man is carrying another man,a man sprays another man with water from a hose,0.8
the woman is putting paste into a dish,a woman is pulling some kind of sticky goo out of a bowl,1.5
a man is holding up and talking about a gray you tube tshirt,a man is showing a t shirt,2.75
someone pours olive oil into a bowl of tomato wedges,the man poured oil on the tomato slices,3.75
a man is playing the guitar,the man played his guitar with a friend,3.2
someone is boiling okra in a pot,someone pours olive oil into a bowl of tomato wedges,0.8
a person is peeling a potato,a cat is licking a small bottle,0.0
a cat is jumping into a box,a young man is talking to a leaf,0.0
the woman is seasoning the oil,a woman is pouring ingredients in a bowl,1.4
a cat is sliding upside down under a couch,a cat is crawling under a piece of furniture on its back,3.2
a woman dances while a man plays the keyboard,a woman is dancing on a stage,2.2
a chef is cleaning up a bowl of soup,a man is wiping the edge of a bowl off,2.533
an explosion is booming in the desert,a nuclear weapon explodes in a desert,3.4
a woman slices a lemon,a man is talking into a microphone,0.0
an overweight man is skipping rope,a young man is dancing,0.8
the lady cracked two raw eggs,the woman is cracking eggs into a bowl,3.2
a man sharpens a pencil using a knife,a woman is dancing in the rain,0.0
plastic toys are floating in water,the ladies are performing a dance,0.0
the turtle followed the fish,a sea turtle is hunting for fish,3.0
the woman is pencilling on eye shadow,the girl is using an eye pencil on her eyelid,2.8
a man is tying his shoe,a dog is riding on a bicyclists shoulders,0.0
a woman is slicing meat with a knife,a man is spreading out dough,0.417
a dog is running on the ground,a girl is tapping her finger nails,0.0
a man is petting a tied up dog,a man is showing his dog to the camera,1.0
a woman is walking on an open ground with a pet dog as some other dogs follow them,a man is walking with several dogs,2.0
a woman is mincing some garlic,a person is cleaning a disk,0.0
two teams are playing soccer,different sets of teams are playing football on a field,2.5
a rat like creature is smelling around,an animal is walking on the ground,2.0
two sumo ringers are fighting each other,a man rides a water toy in the water,0.0
a man lays on the ground and aims a rifle,a man is spreading butter on a tortilla,0.0
a couple are running towards the ocean,a man and and woman are running together holding hands,2.818
a woman is chopping a hard egg,a person is cutting  boiled egg into pieces,3.533
two robots share a kiss,a male and female robot are kissing,3.8
a cat is trying to touch a dog,the cat teased the dog by touching his head,3.25
the rhino grazed on the grass,a rhino is grazing in a field,4.0
the man drove his little red car around the traffic,the dog ran in the water at the beach,0.0
a man is cutting bread,a man is doing tricks with a soccer ball,1.0
a cat rapidly swats a kid in the head,a cat and a boy play together,2.6
a cat is playing in a box,the dog is playing with the floor cleaner,1.4
the couple danced in the church,a couple slow dances,3.2
a man is patting an alligator on the mouth,a person is dumping chopped vegetables into a pot on the stove,0.0
a person checks some rice pudding,a horse is running,0.0
a woman is stirring two eggs in a glass bowl,a young girl is singing on a stage,0.0
the man is playing the drums,a man pours cleaner in his sink,0.0
a man is slicing a pepper,a person cuts a big green pepper apart,3.8
a woman is speaking in sign language,a woman spices some seafood,0.643
a boy is crawling into a dog house,a cat is playing on the floor,0.0
the girl flew her kite while she ran up a hill,a girl loses her kite,2.25
a woman is placing food in a pot of hot water,a woman is frying meat,1.25
a small monkey walks through water,a monkey is wading across a marsh,3.4
a man is riding a bike,a panda bear is eating,0.0
a young man is singing and playing the piano,the man is writing a letter,0.2
a boy takes off his sunglasses,a boy is screaming,0.5
a girl is playing a piano,a boy is doing push ups,0.0
the lady sliced a tomatoe,someone is cutting a tomato,4.0
someone is holding a hedgehog,a onion is being sliced,0.0
a woman peels a potato,a woman is grilling pineapples,1.0
a cat is drinking some water,a truck is going down a hill,0.0
a person is putting salt and pepper on a piece of pork,a youngster is sitting on a piano,0.0
the man sat in his chair and stared,the little girl is putting her hair into a pony tail,0.0
a woman is dicing a potato,a woman cuts tofu into tiny pieces,1.8
a baby is crawling happily,a baby sneezed and scared another baby,1.2
a person is frying a meat in the pan,a man is cutting a vegetable,0.6
a man is looking out of a window,a woman is swimming in the water,0.25
a man seated is playing the guitar,a man is playing an acoustic guitar and singing into a microphone,3.25
a woman is slicing an onion with a knife,a man is preparing some dish,1.25
a rider is running and jumping her horse,a woman jumps hurdles on a horse,4.0
a boy is playing a keyboard,a boy is sitting in a room playing a piano by lamp light,3.25
two men are fighting,the man is exercising,0.75
a man is playing a wooden flute while several other men play bongo drums,a man is playing a flute,3.25
a person is petting a monkey,a man is holding a slow loris,1.2
two cartoon rabbits are kissing,a rabbit is kissing another rabbit,3.8
the hedgehog chewed on the towel,a hedgehog is biting at a blanket,3.4
a cat is licking himself,a man is slicing a white onion with a mandolin slicer,0.0
a small guinea pig is gnawing and eating a piece of carrot on the floor,a guinea pig eats a carrot,3.5
four boys are standing in front of the burning car,four young men stand still as a car explodes behind them,3.75
a man is smoking,the man sat in his suit and smoked,4.0
a woman is adding sauce to some food,a person is cutting leaves,0.2
three children are eating their food,the deer jumped over the fence,0.0
a submarine is going through water,a baby is falling asleep,0.0
a man is running on a street,a man plays the guitar,0.8
a person is slicing an onion,a cat is pooping into a toilet,0.0
a badger is digging in the dirt,a man is moving large rocks,0.0
a woman is slicing big pepper,a dog is moving its mouth,0.0
a man is riding a bicycle,a man is riding a bike,5.0
a man and a woman are kissing each other,a man and a woman are talking to each other,0.6
a woman is slicing an onion,a woman is cutting an onion,4.2
a small boy is playing with a dog,a baby is playing with a dog,3.75
the man is drawing,a man is drawing,5.0
a man is cutting a potato,a woman is cutting a tomato,1.25
a boy is playing a guitar,a kid is playing a guitar,3.6
a woman is cutting an onion,a woman is cutting through an onion,5.0
a toy train is striking a toy car,a toy train strikes a toy car,5.0
a man is playing the guitar,a man is playing the flute,2.2
a cat opens a drawer and climbs inside,a cat is opening a drawer and climbing inside,5.0
a woman is frying a food,a woman is deep frying food,4.25
a man is dicing an onion,a woman is cutting an onion,2.5
a girl is playing a guitar,a man is playing a guitar,2.8
a girl is singing on stage,a man is singing on stage,2.8
a woman is riding a horse,a woman is riding a donkey,2.8
a girl is playing a guitar,a man is playing a guitar,2.8
a woman is brushing some shrimp,a woman brushes some shrimp,5.0
a man is dancing on the ceiling,a man is dancing on the ceiling of a room,4.8
a woman thinly slices an onion with a large knife,a woman is slicing onions with a large knife,4.2
a man is playing a keyboard,a man plays a keyboard,5.0
a man plays the guitar,a man is playing the guitar,5.0
a woman is peeling a potato,a woman peels a potato,5.0
a woman is handling a frog,a man is holding a frog,3.75
