sent1,sent2,score
"['the', 'woman', 'is', 'fri', 'a', 'bread', 'pork', 'chop']","['a', 'woman', 'is', 'cook', 'a', 'bread', 'pork', 'chop']",4.2
"['a', 'girl', 'is', 'fli', 'a', 'kite']","['a', 'girl', 'run', 'is', 'fli', 'a', 'kite']",4.0
"['a', 'man', 'is', 'ride', 'a', 'mechan', 'bull']","['a', 'man', 'rode', 'a', 'mechan', 'bull']",4.0
"['the', 'man', 'is', 'play', 'the', 'guitar']","['a', 'man', 'is', 'play', 'a', 'guitar']",4.909
"['a', 'woman', 'is', 'danc', 'and', 'sing', 'with', 'other', 'woman']","['a', 'woman', 'is', 'danc', 'and', 'sing', 'in', 'the', 'rain']",3.0
"['a', 'man', 'is', 'slice', 'a', 'bun']","['a', 'man', 'is', 'slice', 'an', 'onion']",2.4
"['a', 'man', 'is', 'pour', 'oil', 'into', 'a', 'pan']","['a', 'man', 'is', 'pour', 'oil', 'into', 'a', 'skillet']",4.2
"['a', 'lion', 'is', 'play', 'with', 'peopl']","['a', 'lion', 'is', 'play', 'with', 'two', 'men']",3.4
"['a', 'dog', 'ride', 'a', 'skateboard']","['a', 'dog', 'is', 'ride', 'a', 'skateboard']",5.0
"['someon', 'is', 'carv', 'a', 'statu']","['a', 'man', 'is', 'carv', 'a', 'statu']",3.75
"['a', 'woman', 'is', 'slice', 'an', 'onion']","['a', 'man', 'is', 'cut', 'an', 'onion']",2.75
"['a', 'woman', 'peel', 'shrimp']","['a', 'woman', 'is', 'peel', 'shrimp']",5.0
"['a', 'woman', 'is', 'fri', 'fish']","['a', 'woman', 'is', 'cook', 'fish']",4.0
"['a', 'woman', 'is', 'play', 'an', 'electr', 'guitar']","['a', 'woman', 'is', 'play', 'a', 'guitar']",3.6
"['a', 'babi', 'tiger', 'is', 'play', 'with', 'a', 'ball']","['a', 'babi', 'is', 'play', 'with', 'a', 'doll']",1.6
"['a', 'person', 'is', 'slice', 'a', 'tomato']","['a', 'person', 'is', 'slice', 'some', 'meat']",1.75
"['a', 'person', 'cut', 'an', 'onion']","['a', 'person', 'is', 'cut', 'an', 'onion']",5.0
"['a', 'man', 'is', 'play', 'the', 'piano']","['a', 'woman', 'is', 'play', 'the', 'violin']",1.0
"['a', 'woman', 'is', 'play', 'the', 'flute']","['a', 'man', 'is', 'play', 'the', 'guitar']",1.0
"['a', 'man', 'is', 'cut', 'up', 'a', 'potato']","['a', 'man', 'is', 'cut', 'up', 'carrot']",2.375
"['a', 'kid', 'is', 'play', 'guitar']","['a', 'boy', 'is', 'play', 'a', 'guitar']",3.8
"['a', 'boy', 'is', 'play', 'guitar']","['a', 'man', 'is', 'play', 'a', 'guitar']",3.2
"['a', 'man', 'is', 'play', 'guitar']","['a', 'boy', 'is', 'play', 'a', 'guitar']",3.2
"['a', 'littl', 'boy', 'is', 'play', 'a', 'keyboard']","['a', 'boy', 'is', 'play', 'key', 'board']",4.4
"['a', 'man', 'is', 'play', 'a', 'guitar']","['a', 'man', 'is', 'play', 'an', 'electr', 'guitar']",3.75
"['a', 'dog', 'lick', 'a', 'babi']","['a', 'dog', 'is', 'lick', 'a', 'babi']",4.75
"['a', 'woman', 'is', 'slice', 'an', 'onion']","['a', 'man', 'is', 'cut', 'and', 'onion']",3.2
"['a', 'man', 'is', 'play', 'the', 'guitar']","['a', 'man', 'is', 'play', 'the', 'drum']",1.556
"['a', 'woman', 'is', 'slice', 'a', 'pepper']","['a', 'woman', 'is', 'cut', 'a', 'red', 'pepper']",3.938
"['a', 'man', 'is', 'play', 'the', 'drum']","['a', 'man', 'play', 'the', 'drum']",5.0
"['a', 'woman', 'ride', 'a', 'hors']","['a', 'woman', 'is', 'ride', 'a', 'hors']",5.0
"['a', 'man', 'is', 'eat', 'a', 'banana', 'by', 'a', 'tree']","['a', 'man', 'is', 'eat', 'a', 'banana']",4.0
"['a', 'cat', 'is', 'play', 'a', 'key', 'board']","['a', 'man', 'is', 'play', 'two', 'keyboard']",1.6
"['a', 'man', 'chop', 'down', 'a', 'tree', 'with', 'an', 'axe']","['a', 'man', 'cut', 'a', 'tree', 'with', 'an', 'axe']",4.75
"['a', 'kid', 'play', 'with', 'a', 'toy', 'phone']","['a', 'littl', 'boy', 'play', 'with', 'a', 'toy', 'phone']",3.5
"['a', 'man', 'is', 'ride', 'a', 'motorcycl']","['a', 'man', 'is', 'ride', 'a', 'hors']",1.4
"['a', 'man', 'is', 'ride', 'a', 'motorcycl']","['a', 'man', 'is', 'ride', 'a', 'hors']",1.4
"['a', 'squirrel', 'is', 'spin', 'around', 'in', 'circl']","['a', 'squirrel', 'run', 'around', 'in', 'circl']",4.0
"['a', 'man', 'and', 'a', 'woman', 'are', 'kiss']","['a', 'man', 'and', 'woman', 'kiss']",5.0
"['a', 'man', 'is', 'get', 'into', 'a', 'car']","['a', 'man', 'is', 'get', 'into', 'a', 'car', 'in', 'a', 'garag']",3.833
"['a', 'man', 'is', 'danc']","['a', 'man', 'is', 'talk']",0.6
"['a', 'man', 'is', 'play', 'the', 'guitar', 'and', 'sing']","['a', 'man', 'is', 'play', 'the', 'guitar']",2.917
"['a', 'person', 'is', 'cut', 'mushroom']","['a', 'person', 'is', 'cut', 'mushroom', 'with', 'a', 'knife']",4.2
"['a', 'tiger', 'cub', 'is', 'make', 'a', 'sound']","['a', 'tiger', 'is', 'walk', 'around']",2.0
"['a', 'person', 'is', 'slice', 'onion']","['a', 'person', 'is', 'peel', 'an', 'onion']",2.6
"['a', 'man', 'is', 'play', 'the', 'piano']","['a', 'man', 'is', 'play', 'the', 'trumpet']",1.6
"['a', 'woman', 'is', 'peel', 'a', 'potato']","['a', 'woman', 'is', 'peel', 'an', 'appl']",2.0
"['a', 'unk', 'is', 'eat', 'bamboo']","['a', 'panda', 'bear', 'is', 'eat', 'some', 'bamboo']",4.2
"['a', 'person', 'is', 'peel', 'an', 'onion']","['a', 'person', 'is', 'peel', 'an', 'eggplant']",2.0
"['a', 'monkey', 'push', 'anoth', 'monkey']","['the', 'monkey', 'push', 'the', 'other', 'monkey']",4.8
"['a', 'squirrel', 'run', 'around', 'in', 'circl']","['a', 'squirrel', 'is', 'move', 'in', 'circl']",4.4
"['a', 'man', 'is', 'tie', 'hi', 'shoe']","['a', 'man', 'tie', 'hi', 'shoe']",5.0
"['a', 'boy', 'is', 'sing', 'and', 'play', 'the', 'piano']","['a', 'boy', 'is', 'play', 'the', 'piano']",3.0
"['a', 'dog', 'is', 'eat', 'water', 'melon']","['a', 'dog', 'is', 'eat', 'a', 'piec', 'of', 'watermelon']",4.25
"['a', 'woman', 'is', 'chop', 'broccoli']","['a', 'woman', 'is', 'chop', 'broccoli', 'with', 'a', 'knife']",4.25
"['a', 'man', 'is', 'peel', 'a', 'potato']","['a', 'man', 'peel', 'a', 'potato']",3.8
"['a', 'woman', 'is', 'play', 'a', 'guitar']","['a', 'man', 'play', 'a', 'guitar']",2.4
"['a', 'woman', 'is', 'slice', 'tomato']","['a', 'man', 'is', 'slice', 'onion']",1.6
"['a', 'man', 'swim', 'underwat']","['a', 'woman', 'is', 'swim', 'underwat']",2.0
"['a', 'man', 'and', 'woman', 'are', 'talk']","['a', 'man', 'and', 'woman', 'is', 'eat']",1.6
"['a', 'small', 'dog', 'is', 'chase', 'a', 'unk', 'ball']","['a', 'dog', 'is', 'chase', 'a', 'ball']",4.0
"['the', 'men', 'are', 'play', 'cricket']","['the', 'men', 'are', 'play', 'basketbal']",2.2
"['a', 'man', 'ride', 'off', 'on', 'a', 'motorcycl']","['a', 'man', 'is', 'ride', 'on', 'a', 'motorcycl']",4.4
"['a', 'man', 'is', 'play', 'a', 'guitar']","['a', 'man', 'is', 'sing', 'and', 'play', 'a', 'guitar']",3.6
"['the', 'man', 'talk', 'on', 'the', 'telephon']","['the', 'man', 'is', 'talk', 'on', 'the', 'phone']",3.6
"['a', 'man', 'is', 'fish']","['a', 'man', 'is', 'exercis']",0.5
"['a', 'man', 'is', 'unk']","['a', 'man', 'is', 'talk']",0.8
"['two', 'boy', 'are', 'drive']","['two', 'bay', 'are', 'danc']",0.6
"['a', 'man', 'is', 'ride', 'on', 'a', 'hors']","['a', 'girl', 'is', 'ride', 'a', 'hors']",2.6
"['a', 'man', 'is', 'ride', 'a', 'bicycl']","['a', 'monkey', 'is', 'ride', 'a', 'bike']",2.0
"['a', 'man', 'is', 'slice', 'potato']","['a', 'woman', 'is', 'peel', 'potato']",2.2
"['a', 'woman', 'is', 'peel', 'a', 'potato']","['a', 'man', 'is', 'slice', 'potato']",2.4
"['a', 'man', 'is', 'play', 'a', 'guitar']","['someoen', 'is', 'play', 'guitar']",3.6
"['a', 'woman', 'is', 'slice', 'a', 'leek']","['a', 'woman', 'is', 'slice', 'ginger']",2.2
"['the', 'man', 'cut', 'a', 'paper', 'plate']","['a', 'man', 'is', 'cut', 'a', 'paper', 'plate']",4.8
"['the', 'man', 'is', 'play', 'the', 'guitar']","['a', 'man', 'is', 'play', 'the', 'flute']",1.643
"['a', 'man', 'is', 'play', 'the', 'piano']","['the', 'man', 'is', 'play', 'the', 'violin']",1.75
"['a', 'woman', 'is', 'slice', 'up', 'some', 'meat']","['a', 'woman', 'is', 'bread', 'some', 'meat']",2.25
"['a', 'man', 'is', 'play', 'on', 'hi', 'keyboard']","['a', 'man', 'is', 'play', 'a', 'keyboard', 'piano']",4.0
"['the', 'ladi', 'chop', 'up', 'the', 'green', 'onion']","['the', 'ladi', 'cut', 'up', 'a', 'green', 'onion']",4.8
"['someon', 'is', 'unk', 'noodl', 'in', 'water']","['a', 'woman', 'is', 'boil', 'noodl', 'in', 'water']",3.2
"['lionel', 'unk', 'is', 'danc', 'on', 'the', 'ceil']","['lionel', 'unk', 'danc', 'while', 'stand', 'on', 'the', 'ceil']",4.0
"['a', 'man', 'is', 'play', 'a', 'piano']","['a', 'person', 'is', 'play', 'the', 'piano']",4.4
"['a', 'woman', 'is', 'play', 'flute']","['a', 'woman', 'play', 'on', 'a', 'flute']",4.6
"['a', 'boy', 'is', 'check', 'a', 'unk']","['a', 'boy', 'is', 'look', 'at', 'a', 'unk']",3.8
"['a', 'woman', 'is', 'cut', 'an', 'onion']","['a', 'woman', 'is', 'chop', 'onion']",4.8
"['a', 'man', 'is', 'play', 'guitar']","['a', 'man', 'play', 'a', 'guitar']",4.857
"['a', 'woman', 'is', 'use', 'a', 'sew', 'machin']","['a', 'woman', 'is', 'sew', 'on', 'a', 'machin']",5.0
"['a', 'woman', 'is', 'flip', 'pancak']","['a', 'cartoon', 'chef', 'is', 'flip', 'pancak']",2.533
"['a', 'man', 'is', 'run', 'on', 'the', 'road']","['a', 'car', 'is', 'drive', 'down', 'the', 'road']",1.0
"['a', 'man', 'is', 'ride', 'on', 'a', 'hors']","['a', 'man', 'is', 'talk', 'on', 'a', 'phone']",1.0
"['a', 'man', 'is', 'ride', 'a', 'bike']","['a', 'man', 'is', 'ride', 'on', 'a', 'hors']",2.0
"['a', 'woman', 'is', 'danc']","['a', 'man', 'is', 'eat']",0.143
"['a', 'man', 'is', 'play', 'a', 'piano']","['a', 'man', 'is', 'play', 'a', 'flute']",2.0
"['a', 'man', 'is', 'play', 'a', 'flute']","['a', 'man', 'is', 'play', 'a', 'piano']",1.6
"['a', 'man', 'is', 'spin']","['a', 'man', 'is', 'danc']",1.6
"['a', 'monkey', 'is', 'swing', 'from', 'limb', 'to', 'limb']","['a', 'monkey', 'is', 'swing', 'from', 'tree', 'to', 'tree']",3.4
"['the', 'peopl', 'got', 'off', 'the', 'train']","['the', 'peopl', 'got', 'off', 'the', 'train', 'at', 'the', 'station']",4.0
"['a', 'dog', 'is', 'jump', 'on', 'a', 'trampolin']","['a', 'dog', 'bounc', 'on', 'a', 'trampolin']",4.8
"['a', 'boy', 'is', 'play', 'an', 'instrument']","['a', 'man', 'is', 'play', 'a', 'trumpet']",2.5
"['a', 'woman', 'play', 'the', 'guitar']","['a', 'man', 'sing', 'and', 'play', 'the', 'guitar']",1.75
"['a', 'woman', 'is', 'pick', 'a', 'can']","['a', 'woman', 'is', 'slice', 'a', 'tomato']",1.0
"['a', 'man', 'is', 'climb', 'a', 'rope']","['a', 'man', 'climb', 'up', 'a', 'rope']",5.0
"['a', 'man', 'is', 'lift', 'a', 'car']","['a', 'man', 'is', 'climb', 'a', 'wall']",1.4
"['a', 'man', 'and', 'woman', 'are', 'drive', 'down', 'the', 'street', 'in', 'a', 'jeep']","['a', 'man', 'and', 'woman', 'are', 'drive', 'down', 'the', 'road', 'in', 'an', 'open', 'air', 'vehicl']",4.0
"['the', 'shirtless', 'man', 'sat', 'in', 'a', 'chair']","['a', 'shirtless', 'man', 'is', 'sit', 'on', 'a', 'chair']",3.8
"['two', 'woman', 'are', 'wrestl']","['two', 'woman', 'are', 'wrestl', 'on', 'the', 'floor']",4.0
"['the', 'puppi', 'play', 'with', 'a', 'blue', 'tenni', 'ball']","['a', 'puppi', 'is', 'play', 'with', 'a', 'tenni', 'ball']",4.0
"['a', 'unk', 'is', 'eat', 'someth']","['a', 'kangaroo', 'is', 'eat']",4.8
"['a', 'cat', 'is', 'play', 'a', 'piano']","['a', 'man', 'is', 'play', 'a', 'guitar']",0.6
"['the', 'man', 'cut', 'some', 'carpet', 'with', 'a', 'knife']","['a', 'man', 'is', 'cut', 'carpet', 'with', 'a', 'knife']",4.75
"['a', 'woman', 'is', 'ride', 'a', 'motor', 'scooter', 'down', 'a', 'road']","['a', 'man', 'is', 'ride', 'a', 'motor', 'scooter']",2.2
"['someon', 'is', 'slice', 'a', 'veget']","['someon', 'is', 'slice', 'a', 'tomato']",3.0
"['a', 'woman', 'is', 'danc']","['a', 'man', 'is', 'talk']",0.0
"['a', 'dog', 'lick', 'up', 'a', 'babi', 'unk']","['a', 'dog', 'lick', 'a', 'babi']",2.2
"['a', 'man', 'is', 'row', 'a', 'boat']","['a', 'man', 'is', 'slice', 'a', 'tomato']",0.4
"['a', 'man', 'cut', 'up', 'potato']","['a', 'man', 'slice', 'potato']",4.8
"['a', 'woman', 'is', 'chop', 'up', 'garlic']","['the', 'woman', 'is', 'dice', 'garlic']",4.8
"['an', 'anim', 'run', 'in', 'circl']","['a', 'squirrel', 'run', 'in', 'circl']",3.8
"['a', 'man', 'is', 'walk', 'slowli', 'across', 'a', 'rope', 'bridg']","['a', 'boy', 'is', 'walk', 'across', 'a', 'bridg']",3.0
"['a', 'man', 'is', 'play', 'the', 'guitar']","['a', 'man', 'seat', 'in', 'a', 'room', 'is', 'play', 'the', 'guitar']",4.0
"['a', 'man', 'play', 'the', 'flute']","['a', 'man', 'is', 'play', 'a', 'flute']",5.0
"['a', 'woman', 'crack', 'two', 'egg', 'into', 'a', 'glass', 'bowl']","['a', 'woman', 'is', 'crack', 'an', 'egg', 'into', 'a', 'bowl']",3.8
"['a', 'man', 'is', 'cut', 'a', 'fish']","['a', 'man', 'gut', 'a', 'fish']",3.0
"['two', 'men', 'are', 'pack', 'suitcas', 'into', 'the', 'trunk', 'of', 'a', 'car']","['the', 'men', 'are', 'put', 'suitcas', 'into', 'the', 'car', 'trunk']",4.4
"['a', 'man', 'pour', 'oil', 'on', 'some', 'tomato']","['the', 'man', 'pour', 'oil', 'on', 'the', 'cut', 'tomato']",3.8
"['a', 'man', 'is', 'slice', 'someth']","['a', 'man', 'is', 'slice', 'a', 'bun']",3.0
"['a', 'man', 'is', 'paddl', 'a', 'cano']","['a', 'man', 'is', 'play', 'a', 'harp']",0.667
"['a', 'man', 'and', 'woman', 'are', 'walk', 'togeth', 'through', 'the', 'wood']","['a', 'man', 'and', 'woman', 'are', 'walk', 'arm', 'in', 'arm', 'through', 'a', 'wood', 'area']",4.0
"['the', 'woman', 'pick', 'up', 'the', 'kangaroo']","['a', 'woman', 'pick', 'up', 'a', 'babi', 'kangaroo']",3.75
"['fish', 'are', 'swim']","['a', 'fish', 'is', 'swim']",4.133
"['two', 'woman', 'mix', 'someth', 'in', 'a', 'food', 'processor']","['two', 'woman', 'make', 'someth', 'in', 'a', 'blender']",4.0
"['a', 'person', 'is', 'surf', 'a', 'larg', 'wave']","['a', 'person', 'is', 'surf']",3.6
"['a', 'man', 'is', 'play', 'a', 'guitar']","['a', 'man', 'is', 'stab', 'a', 'target']",1.2
"['a', 'man', 'is', 'play', 'a', 'flute', 'in', 'a', 'band']","['a', 'man', 'is', 'play', 'a', 'guitar']",1.6
"['the', 'man', 'spread', 'butter', 'on', 'the', 'loaf', 'of', 'bread']","['a', 'man', 'is', 'spread', 'butter', 'onto', 'bread']",4.0
"['a', 'person', 'is', 'boil', 'noodl']","['a', 'woman', 'is', 'boil', 'noodl', 'in', 'water']",4.0
"['a', 'group', 'of', 'peopl', 'danc', 'on', 'a', 'hill']","['a', 'group', 'of', 'peopl', 'are', 'danc']",3.2
"['a', 'man', 'is', 'danc', 'outsid']","['a', 'man', 'is', 'play', 'flute']",1.0
"['a', 'woman', 'is', 'feed', 'a', 'man']","['a', 'woman', 'is', 'mix', 'meat']",1.0
"['a', 'man', 'is', 'put', 'a', 'pan', 'into', 'an', 'unk']","['a', 'woman', 'is', 'cut', 'an', 'onion']",0.6
"['a', 'woman', 'is', 'sit', 'at', 'a', 'desk']","['a', 'woman', 'is', 'ride', 'a', 'donkey']",0.4
"['medic', 'transport', 'a', 'patient', 'on', 'a', 'stretcher']","['a', 'doctor', 'rush', 'a', 'patient', 'on', 'a', 'stretcher']",3.4
"['a', 'woman', 'is', 'play', 'a', 'flute', 'on', 'stage']","['the', 'woman', 'is', 'play', 'the', 'flute']",3.6
"['two', 'babi', 'panda', 'are', 'play']","['two', 'panda', 'are', 'lay', 'togeth']",3.0
"['a', 'babi', 'is', 'laugh']","['a', 'babi', 'is', 'laugh', 'and', 'giggl']",4.0
"['a', 'man', 'is', 'play', 'a', 'guitar']","['a', 'boy', 'is', 'play', 'a', 'piano']",1.2
"['a', 'man', 'is', 'fold', 'paper']","['a', 'woman', 'is', 'slice', 'a', 'pepper']",0.6
"['three', 'woman', 'are', 'danc']","['the', 'man', 'is', 'danc']",1.6
"['the', 'cat', 'are', 'play', 'with', 'each', 'other']","['two', 'cat', 'are', 'fight', 'each', 'other']",2.6
"['a', 'person', 'is', 'write']","['a', 'person', 'is', 'write', 'with', 'a', 'pencil']",3.6
"['a', 'man', 'is', 'run']","['a', 'man', 'is', 'run', 'down', 'a', 'road']",3.5
"['the', 'woman', 'is', 'roll', 'dough']","['a', 'woman', 'is', 'flour', 'and', 'roll', 'dough']",3.765
"['a', 'woman', 'is', 'ad', 'spice', 'on', 'a', 'meat']","['woman', 'is', 'ad', 'unk', 'to', 'meat']",2.75
"['a', 'woman', 'is', 'ad', 'oil', 'on', 'fish']","['a', 'woman', 'is', 'pour', 'water', 'on', 'fish']",2.25
"['a', 'young', 'boy', 'is', 'hold', 'a', 'guitar']","['a', 'littl', 'boy', 'is', 'play', 'a', 'guitar']",2.75
"['a', 'cheetah', 'is', 'run']","['a', 'cheetah', 'is', 'run', 'across', 'a', 'field']",3.8
"['the', 'man', 'is', 'eat', 'pizza']","['a', 'man', 'is', 'eat', 'a', 'slice', 'of', 'pizza']",4.8
"['an', 'unk', 'is', 'ride', 'a', 'bu']","['a', 'monkey', 'is', 'ride', 'on', 'a', 'bu']",3.6
"['a', 'man', 'and', 'a', 'woman', 'talk', 'in', 'a', 'diner']","['a', 'man', 'and', 'a', 'woman', 'are', 'ride', 'on', 'a', 'bicycl']",1.2
"['a', 'man', 'is', 'play', 'a', 'guitar']","['a', 'man', 'is', 'clean', 'a', 'glass', 'door']",0.4
"['a', 'girl', 'is', 'sing', 'and', 'play', 'a', 'guitar']","['a', 'young', 'man', 'is', 'sing', 'while', 'play', 'the', 'guitar']",2.4
"['a', 'girl', 'is', 'commun', 'with', 'sign', 'languag']","['a', 'young', 'girl', 'is', 'use', 'sign', 'languag']",3.941
"['a', 'woman', 'is', 'do', 'weight', 'exercis']","['a', 'woman', 'is', 'do', 'her', 'hair']",0.5
"['a', 'man', 'is', 'get', 'insid', 'a', 'car']","['an', 'elderli', 'man', 'is', 'get', 'into', 'a', 'red', 'car']",3.75
"['a', 'big', 'green', 'ball', 'knock', 'a', 'potato', 'over']","['a', 'larg', 'green', 'ball', 'hit', 'a', 'potato']",4.0
"['a', 'cat', 'is', 'play', 'keyboard']","['a', 'cat', 'is', 'play', 'a', 'piano']",3.0
"['two', 'dog', 'swim', 'in', 'a', 'pool']","['dog', 'are', 'swim', 'in', 'a', 'pool']",4.2
"['the', 'man', 'use', 'a', 'chopper', 'to', 'chop', 'the', 'onion']","['the', 'man', 'use', 'a', 'machin', 'to', 'chop', 'up', 'a', 'potato']",2.0
"['a', 'woman', 'slice', 'tofu']","['a', 'woman', 'is', 'cut', 'tofu']",5.0
"['a', 'herd', 'of', 'deer', 'are', 'cross', 'the', 'street']","['a', 'herd', 'of', 'unk', 'are', 'cross', 'a', 'road']",3.0
"['the', 'person', 'is', 'ride', 'the', 'hors']","['a', 'man', 'is', 'ride', 'a', 'hors']",3.8
"['someon', 'is', 'feed', 'a', 'anim']","['someon', 'is', 'play', 'a', 'piano']",0.0
"['someon', 'is', 'slice', 'unk']","['someon', 'is', 'ride', 'a', 'hors']",0.0
"['someon', 'is', 'mix', 'ingredi']","['someon', 'is', 'sew', 'thing']",0.25
"['a', 'rooster', 'peck', 'at', 'a', 'dead', 'mous']","['a', 'chicken', 'is', 'peck', 'at', 'a', 'dead', 'mous']",4.0
"['a', 'woman', 'hold', 'a', 'kangaroo']","['a', 'woman', 'is', 'pick', 'up', 'a', 'kangaroo']",3.25
"['a', 'man', 'is', 'play', 'with', 'frog']","['a', 'cat', 'is', 'play', 'with', 'a', 'camera']",0.75
"['two', 'men', 'are', 'talk']","['two', 'men', 'are', 'play', 'guitar']",1.5
"['a', 'man', 'spread', 'butter', 'on', 'a', 'big', 'piec', 'of', 'bread']","['a', 'man', 'is', 'unk', 'butter', 'on', 'a', 'slice', 'of', 'garlic', 'bread']",3.5
"['a', 'man', 'is', 'run', 'across', 'a', 'high', 'wire']","['a', 'man', 'is', 'run', 'on', 'rope']",3.0
"['a', 'man', 'is', 'mow', 'a', 'lawn']","['a', 'woman', 'is', 'cut', 'a', 'lemon']",0.2
"['a', 'man', 'is', 'open', 'a', 'door']","['a', 'man', 'is', 'play', 'a', 'guitar']",0.8
"['a', 'man', 'is', 'slice', 'a', 'potato', 'into', 'piec']","['a', 'man', 'is', 'cut', 'a', 'potato']",4.2
"['the', 'woman', 'is', 'cut', 'cook', 'octopu']","['a', 'woman', 'is', 'chop', 'octopu']",3.8
"['a', 'man', 'is', 'punch', 'through', 'board']","['a', 'dog', 'is', 'run', 'through', 'water']",0.4
"['a', 'man', 'is', 'danc']","['a', 'man', 'is', 'eat', 'bread']",0.8
"['someon', 'is', 'play', 'a', 'piano']","['a', 'man', 'is', 'play', 'a', 'guitar']",1.2
"['two', 'fox', 'are', 'eat', 'from', 'a', 'plate', 'on', 'a', 'brick', 'unk']","['fox', 'are', 'eat', 'from', 'a', 'plate']",2.8
"['a', 'boy', 'is', 'play', 'a', 'keyboard']","['a', 'boy', 'is', 'play', 'the', 'piano']",3.2
"['a', 'person', 'play', 'a', 'keyboard']","['someon', 'is', 'play', 'a', 'keyboard']",5.0
"['a', 'man', 'is', 'shoot', 'a', 'gun']","['a', 'man', 'is', 'spit']",0.0
"['someon', 'is', 'slice', 'an', 'onion']","['someoen', 'is', 'peel', 'a', 'potato']",1.0
"['a', 'man', 'is', 'swim']","['a', 'woman', 'is', 'slice', 'meat']",0.0
"['a', 'man', 'is', 'play', 'the', 'guitar']","['a', 'man', 'play', 'an', 'acoust', 'guitar']",3.75
"['a', 'woman', 'is', 'slice', 'a', 'pumpkin']","['a', 'woman', 'is', 'ride', 'an', 'eleph']",0.4
"['a', 'woman', 'is', 'danc']","['a', 'woman', 'is', 'unk', 'dough']",0.4
"['a', 'woman', 'is', 'crack', 'egg', 'into', 'a', 'bowl']","['a', 'woman', 'is', 'place', 'unk', 'onto', 'a', 'rack']",0.6
